"
Borussia Dortmund
","
Borussia M'gladbach
"
Starting XI
1,R. Weidenfeller,[],1,Y. Sommer,[]
29,M. Schmelzer,[],3,A. Christensen,[]
26,Ł. Piszczek,"[('yellow-card', ""36'"")]",30,N. Elvedi,[]
5,Bartra,[],17,O. Wendt,[]
25,S. Papastathopoulos,[],5,T. Strobl,"[('yellow-card', ""14'"")]"
28,M. Ginter,[],6,C. Kramer,[]
7,O. Dembélé,"[('sub-out', ""89'"")]",27,J. Korb,[]
8,N. Şahin,"[('sub-out', ""36'"")]",8,M. Dahoud,"[('sub-out', ""73'"")]"
27,G. Castro,[],13,L. Stindl,[]
11,M. Reus,"[('sub-out', ""78'"")]",11,Raffael,"[('sub-out', ""82'"")]"
17,P. Aubameyang,[],10,T. Hazard,"[('sub-out', ""78'"")]"
