"
Bayer Leverkusen
","
Freiburg
"
Starting XI
1,B. Leno,[],1,A. Schwolow,[]
18,Wendell,[],15,P. Stenzel,[]
16,T. Jedvaj,[],5,M. Gulde,[]
6,A. Dragović,[],17,L. Kübler,"[('sub-out', ""72'"")]"
29,K. Havertz,"[('sub-out', ""56'"")]",4,C. Söyüncü,[]
39,B. Henrichs,"[('sub-out', ""46'"")]",30,C. Günter,[]
44,K. Kampl,[],32,V. Grifo,[]
20,C. Aránguiz,[],8,M. Frantz,[]
7,J. Hernández,[],23,J. Schuster,"[('yellow-card', ""41'""), ('sub-out', ""86'"")]"
19,J. Brandt,"[('sub-out', ""90'+"")]",19,J. Haberer,"[('sub-out', ""80'"")]"
10,H. Çalhanoğlu,[],7,F. Niederlechner,[]
