"
Augsburg","
Eintracht Frankfurt
"
Starting XI
35,M. Hitz,[],1,L. Hradecky,[]
3,K. Stafylidis,[],22,T. Chandler,[]
31,P. Max,"[('yellow-card', ""33'""), ('sub-out', ""74'"")]",6,B. Oczipka,[]
2,P. Verhaegh,[],19,D. Abraham,[]
16,C. Janker,"[('yellow-card', ""3'"")]",5,Jesús Vallejo,"[('yellow-card', ""28'"")]"
36,M. Hinteregger,[],39,Omar Mascarell,[]
7,Halil Altıntop,[],20,M. Hasebe,"[('yellow-card', ""37'"")]"
11,J. Schmid,"[('sub-out', ""83'"")]",8,S. Huszti,"[('sub-out', ""74'"")]"
10,D. Baier,"[('sub-out', ""90'+"")]",11,M. Gaćinović,"[('sub-out', ""62'"")]"
21,D. Kohr,"[('yellow-card', ""80'"")]",31,B. Hrgota,"[('sub-out', ""87'"")]"
22,Dong-Won Ji,[],14,A. Meier,[]
