"
Augsburg
","
Borussia M'gladbach
"
Starting XI
35,M. Hitz,[],1,Y. Sommer,[]
36,M. Hinteregger,[],3,A. Christensen,[]
2,P. Verhaegh,[],4,J. Vestergaard,[]
6,J. Gouweleeuw,[],17,O. Wendt,[]
31,P. Max,"[('sub-out', ""69'"")]",30,N. Elvedi,[]
10,D. Baier,[],6,C. Kramer,"[('sub-out', ""59'"")]"
19,Ja-Cheol Koo,[],5,T. Strobl,[]
14,J. Morávek,"[('sub-out', ""72'"")]",8,M. Dahoud,"[('sub-out', ""85'"")]"
39,T. Usami,"[('sub-out', ""87'"")]",11,Raffael,"[('sub-out', ""75'"")]"
11,J. Schmid,[],28,A. Hahn,[]
22,Dong-Won Ji,[],10,T. Hazard,[]
