"
Darmstadt 98","
Bayern München
"
Starting XI
31,M. Esser,[],1,M. Neuer,[]
32,F. Holland,[],5,M. Hummels,"[('yellow-card', ""75'"")]"
4,A. Sulu,[],27,D. Alaba,[]
17,S. Sirigu,[],13,Rafinha,[]
7,A. Fedetskiy,[],6,Thiago Alcântara,[]
20,M. Heller,[],11,Douglas Costa,"[('sub-out', ""90'+"")]"
6,M. Vrančić,[],14,Xabi Alonso,"[('yellow-card', ""75'"")]"
10,J. Rosenthal,"[('yellow-card', ""43'""), ('sub-out', ""65'"")]",23,A. Vidal,"[('sub-out', ""69'"")]"
8,J. Gondorf,[],8,Javi Martínez,[]
18,P. Niemeyer,"[('sub-out', ""78'"")]",25,T. Müller,"[('sub-out', ""80'"")]"
39,S. Schipplock,"[('sub-out', ""90'+"")]",9,R. Lewandowski,[]
