"
Schalke 04
","
Ingolstadt
"
Starting XI
1,R. Fährmann,[],35,M. Hansen,[]
31,M. Nastasić,"[('yellow-card', ""79'"")]",33,F. Hadergjonaj,[]
4,B. Höwedes,[],18,R. Brégerie,[]
6,S. Kolašinac,[],29,M. Suttner,[]
15,D. Aogo,"[('sub-out', ""85'"")]",34,M. Matip,[]
29,Naldo,[],36,A. Cohen,[]
21,A. Schöpf,[],10,P. Groß,"[('sub-out', ""75'"")]"
5,J. Geis,"[('sub-out', ""46'"")]",6,A. Morales,[]
8,L. Goretzka,[],8,Roger,[]
7,M. Meyer,"[('sub-out', ""67'"")]",11,D. Lezcano,"[('sub-out', ""90'+"")]"
13,E. Choupo-Moting,[],7,M. Leckie,[]
