"
Mainz 05
","
Köln
"
Starting XI
1,J. Lössl,[],18,T. Kessler,[]
18,D. Brosinski,[],4,F. Sørensen,"[('yellow-card', ""64'"")]"
24,G. Bussmann,"[('yellow-card', ""41'"")]",34,K. Rausch,[]
26,N. Bungert,[],3,D. Heintz,[]
16,S. Bell,[],5,D. Maroh,[]
6,D. Latza,[],14,J. Hector,[]
17,Jairo Samperio,"[('sub-out', ""77'"")]",16,P. Olkowski,[]
8,L. Öztunali,[],17,C. Clemens,"[('sub-out', ""74'"")]"
20,F. Frei,[],6,M. Höger,[]
32,P. De Blasis,[],13,Y. Ōsako,[]
9,Y. Muto,"[('sub-out', ""89'"")]",27,A. Modeste,[]
