"
Hoffenheim
","
Mainz 05
"
Starting XI
1,O. Baumann,"[('yellow-card', ""51'"")]",1,J. Lössl,[]
25,N. Süle,[],26,N. Bungert,[]
21,B. Hübner,"[('sub-out', ""83'"")]",16,S. Bell,[]
3,P. Kadeřábek,"[('yellow-card', ""59'"")]",2,G. Donati,[]
22,K. Vogt,[],18,D. Brosinski,[]
17,S. Zuber,[],6,D. Latza,[]
18,N. Amiri,[],17,Jairo Samperio,[]
6,S. Rudy,[],22,André Ramalho,"[('sub-out', ""71'"")]"
13,K. Demirbay,[],15,J. Córdoba,"[('yellow-card', ""37'""), ('sub-out', ""58'"")]"
19,M. Uth,"[('sub-out', ""76'"")]",32,P. De Blasis,[]
27,A. Kramarić,"[('sub-out', ""69'"")]",9,Y. Muto,"[('sub-out', ""75'"")]"
