"
Hertha BSC
","
Bayern München
"
Starting XI
22,R. Jarstein,"[('yellow-card', ""90'+"")]",1,M. Neuer,[]
5,N. Stark,[],5,M. Hummels,"[('yellow-card', ""64'"")]"
2,P. Pekarík,"[('yellow-card', ""90'+"")]",27,D. Alaba,[]
15,S. Langkamp,[],21,P. Lahm,[]
21,M. Plattenhardt,[],10,A. Robben,[]
25,J. Brooks,[],23,A. Vidal,"[('sub-out', ""61'"")]"
24,G. Haraguchi,"[('sub-out', ""90'+"")]",6,Thiago Alcântara,[]
3,P. Skjelbred,[],11,Douglas Costa,[]
6,V. Darida,[],32,J. Kimmich,"[('sub-out', ""61'"")]"
8,S. Kalou,"[('sub-out', ""90'+"")]",18,Juan Bernat,"[('sub-out', ""77'"")]"
19,V. Ibišević,"[('sub-out', ""87'"")]",25,T. Müller,[]
