"
Hamburger SV
","
Freiburg
"
Starting XI
1,R. Adler,[],1,A. Schwolow,[]
2,D. Diekmeier,"[('sub-out', ""46'"")]",30,C. Günter,[]
9,K. Papadopoulos,"[('sub-out', ""31'"")]",17,L. Kübler,[]
22,M. Ostrzolek,[],3,Torrejón,[]
13,M. Mavraj,[],4,C. Söyüncü,[]
28,G. Jung,[],6,A. Abrashi,"[('sub-out', ""62'"")]"
24,G. Sakai,[],26,M. Philipp,"[('yellow-card', ""36'"")]"
8,L. Holtby,[],32,V. Grifo,"[('sub-out', ""90'+"")]"
14,A. Hunt,"[('yellow-card', ""68'"")]",19,J. Haberer,"[('yellow-card', ""56'""), ('sub-out', ""85'"")]"
12,Walace,"[('sub-out', ""83'"")]",27,N. Höfler,[]
17,F. Kostić,"[('yellow-card', ""62'"")]",18,N. Petersen,[]
