"
Hertha BSC","
Eintracht Frankfurt
"
Starting XI
22,R. Jarstein,[],1,L. Hradecky,[]
21,M. Plattenhardt,[],3,G. Varela,"[('sub-out', ""69'"")]"
5,N. Stark,[],6,B. Oczipka,[]
15,S. Langkamp,"[('sub-out', ""87'"")]",22,T. Chandler,[]
2,P. Pekarík,[],33,T. Tawatha,[]
25,J. Brooks,"[('yellow-card', ""4'"")]",15,M. Hector,"[('yellow-card', ""75'"")]"
3,P. Skjelbred,[],11,M. Gaćinović,"[('yellow-card', ""58'"")]"
24,G. Haraguchi,"[('yellow-card', ""40'"")]",18,M. Besuschkow,"[('sub-out', ""63'"")]"
6,V. Darida,"[('sub-out', ""89'"")]",20,M. Hasebe,[]
19,V. Ibišević,[],17,A. Rebić,[]
8,S. Kalou,"[('sub-out', ""81'"")]",9,H. Seferović,"[('red-card', ""78'"")]"
