"
Köln
","
Bayern München
"
Starting XI
18,T. Kessler,[],1,M. Neuer,[]
16,P. Olkowski,[],21,P. Lahm,[]
34,K. Rausch,[],27,D. Alaba,[]
3,D. Heintz,[],6,Thiago Alcântara,[]
4,F. Sørensen,"[('sub-out', ""56'"")]",11,Douglas Costa,"[('sub-out', ""52'"")]"
2,N. Subotić,[],8,Javi Martínez,[]
17,C. Clemens,"[('sub-out', ""63'"")]",18,Juan Bernat,"[('yellow-card', ""79'"")]"
6,M. Höger,"[('sub-out', ""73'"")]",23,A. Vidal,"[('yellow-card', ""34'""), ('sub-out', ""73'"")]"
11,S. Zoller,[],9,R. Lewandowski,[]
13,Y. Ōsako,[],29,K. Coman,"[('sub-out', ""82'"")]"
27,A. Modeste,[],25,T. Müller,[]
