"
Werder Bremen
","
Darmstadt 98
"
Starting XI
42,F. Wiedwald,[],1,Daniel Heuer ,[]
18,N. Moisander,[],4,A. Sulu,[]
23,T. Gebre Selassie,[],32,F. Holland,"[('sub-out', ""78'"")]"
26,L. Sané,[],17,S. Sirigu,[]
4,R. Bauer,[],34,Hamit Altıntop,"[('yellow-card', ""69'"")]"
22,F. Bartels,[],20,M. Heller,[]
29,S. Gnabry,[],6,M. Vrančić,"[('sub-out', ""72'"")]"
8,C. Fritz,"[('sub-out', ""39'"")]",18,P. Niemeyer,[]
16,Z. Junuzović,"[('sub-out', ""32'"")]",33,S. Sam,"[('sub-out', ""87'"")]"
10,M. Kruse,[],8,J. Gondorf,[]
14,C. Pizarro,"[('sub-out', ""78'"")]",16,A. Colak,[]
