"
Eintracht Frankfurt
","
Borussia M'gladbach
"
Starting XI
1,L. Hradecky,[],1,Y. Sommer,[]
22,T. Chandler,"[('yellow-card', ""83'"")]",3,A. Christensen,[]
19,D. Abraham,[],24,T. Jantschke,"[('sub-out', ""46'"")]"
5,Jesús Vallejo,"[('yellow-card', ""21'"")]",4,J. Vestergaard,[]
33,T. Tawatha,"[('sub-out', ""76'"")]",17,O. Wendt,"[('yellow-card', ""78'"")]"
6,B. Oczipka,[],23,J. Hofmann,"[('sub-out', ""68'"")]"
10,M. Fabián,[],5,T. Strobl,"[('yellow-card', ""56'""), ('sec-yellow-card', ""85'"")]"
39,Omar Mascarell,"[('yellow-card', ""43'"")]",8,M. Dahoud,[]
11,M. Gaćinović,"[('sub-out', ""90'"")]",10,T. Hazard,"[('sub-out', ""81'"")]"
31,B. Hrgota,"[('yellow-card', ""89'"")]",13,L. Stindl,[]
17,A. Rebić,"[('sub-out', ""68'"")]",11,Raffael,[]
