"
Real Sociedad","
Barcelona"
Starting XI
1,G. Rulli,[],1,M. ter Stegen,"[('yellow-card', ""22'"")]"
22,Raúl Navas,[],14,J. Mascherano,"[('yellow-card', ""55'"")]"
6,Íñigo Martínez,[],3,Piqué,[]
2,Carlos Martínez,"[('yellow-card', ""62'"")]",18,Jordi Alba,"[('yellow-card', ""90'+"")]"
19,Yuri,[],20,Sergi Roberto,[]
10,Xabi Prieto,"[('sub-out', ""72'"")]",5,Busquets,[]
4,Illarramendi,[],4,I. Rakitić,"[('sub-out', ""46'"")]"
17,Zurutuza,"[('yellow-card', ""89'"")]",21,André Gomes,[]
18,Mikel Oyarzabal,"[('sub-out', ""85'"")]",9,L. Suárez,[]
12,Willian José,"[('sub-out', ""75'"")]",11,Neymar,[]
11,C. Vela,[],10,L. Messi,[]
