"
Athletic Club
","
Eibar
"
Starting XI
26,Kepa,[],13,Asier Riesgo,[]
4,A. Laporte,[],20,F. Lejeune,[]
2,Bóveda,[],18,Arbilla,"[('yellow-card', ""61'"")]"
27,Yeray Álvarez,[],19,Luna,[]
24,Balenziaga,[],3,Alejandro Gálvez,"[('yellow-card', ""41'"")]"
6,San José,"[('yellow-card', ""81'"")]",8,T. Inui,"[('yellow-card', ""30'""), ('sub-out', ""83'"")]"
7,Beñat,[],14,Dani García,[]
14,Susaeta,"[('sub-out', ""65'"")]",21,Pedro León,"[('yellow-card', ""42'"")]"
11,Iñaki Williams,"[('sub-out', ""85'"")]",16,Fran Rico,"[('sub-out', ""86'"")]"
10,Muniain,[],24,Adrián ,"[('sub-out', ""60'"")]"
19,Sabin ,"[('sub-out', ""75'"")]",9,Sergi Enrich,[]
