"
Las Palmas
","
Leganés
"
Starting XI
13,Javi Varas,[],13,Iago Herrerín,[]
17,Bigas,[],3,Bustinza,"[('yellow-card', ""8'""), ('sub-out', ""46'"")]"
12,Míchel,"[('yellow-card', ""68'"")]",18,Pablo Ínsua,[]
5,David García,"[('yellow-card', ""75'"")]",17,Víctor Díaz,"[('yellow-card', ""36'"")]"
22,Hélder Lopes,[],5,M. Mantovani,"[('yellow-card', ""22'"")]"
15,Roque Mesa,"[('sub-out', ""85'"")]",24,Timor,[]
21,Jonathan Viera,[],21,Rubén Pérez,[]
4,Vicente Gómez,[],8,Gabriel,"[('sub-out', ""69'"")]"
11,Momo,"[('sub-out', ""71'"")]",23,Omar Ramos,[]
9,M. Livaja,"[('yellow-card', ""82'""), ('sub-out', ""85'"")]",6,Alberto,[]
24,Tana,[],7,D. Machís,"[('sub-out', ""81'"")]"
