"
Real Sociedad
","
Valencia
"
Starting XI
1,G. Rulli,[],1,Diego Alves,[]
22,Raúl Navas,"[('yellow-card', ""35'"")]",23,A. Abdennour,"[('yellow-card', ""67'"")]"
2,Carlos Martínez,[],4,Aderllan Santos,[]
19,Yuri,[],2,João Cancelo,"[('yellow-card', ""53'""), ('sec-yellow-card', ""82'"")]"
6,Íñigo Martínez,[],21,Martín Montoya,"[('yellow-card', ""62'"")]"
17,Zurutuza,"[('yellow-card', ""89'""), ('sub-out', ""90'"")]",16,F. Cartabia,"[('sub-out', ""35'"")]"
4,Illarramendi,"[('yellow-card', ""76'"")]",7,Mario Suárez,"[('sub-out', ""78'"")]"
10,Xabi Prieto,[],20,Álvaro Medrán,[]
11,C. Vela,"[('yellow-card', ""62'"")]",10,Dani Parejo,"[('yellow-card', ""67'"")]"
18,Mikel Oyarzabal,"[('sub-out', ""72'"")]",19,Rodrigo,[]
12,Willian José,"[('sub-out', ""48'"")]",9,Munir,"[('sub-out', ""72'"")]"
