"
Eibar
","
Atlético Madrid
"
Starting XI
1,Yoel,[],1,Moyà,[]
7,Ander Capa,[],3,Filipe Luis,[]
15,M. Dos Santos,[],16,Š. Vrsaljko,"[('yellow-card', ""29'""), ('sub-out', ""46'"")]"
20,F. Lejeune,[],15,S. Savić,[]
19,Luna,[],2,D. Godín,[]
8,T. Inui,"[('sub-out', ""68'"")]",24,J. Giménez,[]
16,Fran Rico,[],6,Koke,"[('yellow-card', ""81'"")]"
14,Dani García,[],14,Gabi,[]
21,Pedro León,"[('sub-out', ""76'"")]",8,Saúl,[]
24,Adrián ,"[('yellow-card', ""20'""), ('sub-out', ""82'"")]",9,Fernando Torres,"[('sub-out', ""71'"")]"
9,Sergi Enrich,[],7,A. Griezmann,[]
