"
Atlético Madrid
","
Real Betis
"
Starting XI
1,Moyà,[],13,Adán,[]
2,D. Godín,[],20,G. Pezzella,[]
3,Filipe Luis,[],12,C. Piccini,"[('yellow-card', ""61'"")]"
16,Š. Vrsaljko,"[('yellow-card', ""69'"")]",15,R. Donk,[]
15,S. Savić,[],14,R. Durmisi,[]
14,Gabi,[],28,José Carlos,"[('sub-out', ""70'"")]"
23,N. Gaitán,"[('sub-out', ""63'"")]",22,D. Brašanac,"[('sub-out', ""66'"")]"
6,Koke,[],8,J. Martin,[]
8,Saúl,[],10,Dani Ceballos,"[('yellow-card', ""89'"")]"
9,Fernando Torres,"[('sub-out', ""70'"")]",24,Rubén Castro,[]
7,A. Griezmann,"[('sub-out', ""90'+"")]",19,Álex Alegría,"[('yellow-card', ""79'""), ('sub-out', ""82'"")]"
