"
Real Betis
","
Barcelona
"
Starting XI
13,Adán,[],1,M. ter Stegen,[]
14,R. Durmisi,[],19,L. Digne,"[('sub-out', ""68'"")]"
20,G. Pezzella,[],24,J. Mathieu,[]
21,A. Toșca,[],3,Piqué,"[('yellow-card', ""43'"")]"
12,C. Piccini,[],22,Aleix Vidal,[]
23,A. Mandi,[],7,A. Turan,"[('sub-out', ""68'"")]"
7,Rubén Pardo,"[('sub-out', ""69'"")]",4,I. Rakitić,"[('yellow-card', ""70'"")]"
5,Petros,"[('yellow-card', ""67'""), ('sub-out', ""86'"")]",6,Denis Suárez,"[('sub-out', ""59'"")]"
10,Dani Ceballos,[],9,L. Suárez,[]
19,Álex Alegría,"[('sub-out', ""85'"")]",11,Neymar,[]
24,Rubén Castro,"[('yellow-card', ""78'"")]",10,L. Messi,[]
