"
Deportivo La Coruña
","
Deportivo Alavés
"
Starting XI
1,G. Lux,"[('yellow-card', ""86'"")]",1,Fernando Pacheco,[]
16,Luisinho,[],24,Z. Feddal,[]
12,Sidnei,[],5,Laguardia,[]
6,Albentosa,"[('yellow-card', ""67'"")]",15,T. Hernández,[]
20,Guilherme,"[('yellow-card', ""33'"")]",21,Kiko Femenía,[]
2,Juanfran,[],6,Marcos Llorente,"[('yellow-card', ""42'"")]"
22,C. Borges,"[('sub-out', ""71'"")]",19,Manu García,[]
8,E. Çolak,[],8,Víctor Camarasa,[]
21,Bruno Gama,"[('yellow-card', ""80'""), ('sub-out', ""83'"")]",18,Toquero,"[('sub-out', ""90'"")]"
23,G. Kakuta,"[('sub-out', ""56'"")]",20,Deyverson,"[('yellow-card', ""51'"")]"
10,F. Andone,[],11,Ibai Gómez,"[('sub-out', ""62'"")]"
