"
Sporting Gijón
","
Atlético Madrid
"
Starting XI
1,Pichu Cuéllar,[],1,Moyà,[]
16,Lillo Castellano,[],3,Filipe Luis,[]
4,Jorge Meré,[],16,Š. Vrsaljko,[]
5,F. Amorebieta,[],15,S. Savić,[]
15,Canella,[],19,L. Hernández,[]
2,Douglas Pereira,[],6,Koke,[]
22,Mikel Vesga,"[('yellow-card', ""57'"")]",14,Gabi,[]
23,Moi Gómez,"[('sub-out', ""84'"")]",10,Y. Carrasco,"[('sub-out', ""68'"")]"
6,Sergio Álvarez,[],11,Á. Correa,"[('sub-out', ""62'"")]"
8,L. Traoré,"[('sub-out', ""76'"")]",7,A. Griezmann,[]
14,Burgui,"[('sub-out', ""84'"")]",9,Fernando Torres,"[('sub-out', ""62'"")]"
