"
Espanyol
","
Osasuna
"
Starting XI
13,Diego López,[],25,S. Sirigu,[]
6,Ó. Duarte,[],6,Oier,"[('red-card', ""27'"")]"
31,Marc Navarro,[],5,David García,"[('yellow-card', ""25'"")]"
23,D. Reyes,[],22,N. Vujadinović,"[('sub-out', ""60'"")]"
12,Aaron Martín,[],21,Carlos Clerc,[]
14,José Jurado,"[('sub-out', ""64'"")]",20,De las Cuevas,[]
15,David López,"[('yellow-card', ""24'"")]",17,Jaime Romero,"[('sub-out', ""64'"")]"
17,H. Pérez,"[('sub-out', ""73'"")]",24,R. Loé,[]
7,Gerard Moreno,[],8,G. Čaušić,[]
10,F. Caicedo,"[('sub-out', ""89'"")]",19,Kenan,"[('sub-out', ""32'"")]"
19,P. Piatti,[],12,E. Rivière,"[('yellow-card', ""24'"")]"
