"
Villarreal
","
Espanyol
"
Starting XI
13,Andrés Fernández,[],13,Diego López,"[('yellow-card', ""28'"")]"
6,Víctor Ruíz,[],12,Aaron Martín,[]
11,Jaume Costa,"[('yellow-card', ""3'"")]",23,D. Reyes,[]
12,Álvaro González,"[('yellow-card', ""54'"")]",6,Ó. Duarte,"[('yellow-card', ""66'"")]"
2,Mario Gaspar,[],30,Óscar Melendo,[]
20,R. Soriano,"[('sub-out', ""72'"")]",15,David López,[]
14,Trigueros,[],28,Marc Roca,"[('sub-out', ""83'"")]"
21,Bruno,[],16,Javi López,"[('sub-out', ""76'"")]"
19,Samu Castillejo,[],14,José Jurado,[]
9,Soldado,"[('sub-out', ""63'"")]",7,Gerard Moreno,[]
17,C. Bakambu,"[('sub-out', ""88'"")]",19,P. Piatti,"[('sub-out', ""56'"")]"
