"
Osasuna
","
Athletic Club
"
Starting XI
25,S. Sirigu,[],26,Kepa,[]
34,Aitor Buñuel,"[('sub-out', ""82'"")]",2,Bóveda,[]
21,Carlos Clerc,"[('yellow-card', ""81'"")]",6,San José,[]
15,Unai García,[],4,A. Laporte,[]
5,David García,[],24,Balenziaga,[]
6,Oier,"[('yellow-card', ""60'"")]",22,Raúl García,"[('sub-out', ""61'"")]"
8,G. Čaušić,[],7,Beñat,"[('sub-out', ""79'"")]"
18,Fran Mérida,"[('yellow-card', ""36'"")]",18,De Marcos,"[('yellow-card', ""84'"")]"
20,De las Cuevas,"[('sub-out', ""71'"")]",10,Muniain,"[('yellow-card', ""34'""), ('sub-out', ""69'"")]"
12,E. Rivière,[],11,Iñaki Williams,[]
9,Oriol Riera,"[('yellow-card', ""22'""), ('sub-out', ""66'"")]",20,Aduriz,[]
