"
Sevilla
","
Sporting Gijón
"
Starting XI
1,Sergio Rico,[],1,Pichu Cuéllar,[]
21,N. Pareja,"[('yellow-card', ""59'"")]",15,Canella,[]
3,Mariano,"[('yellow-card', ""83'"")]",5,F. Amorebieta,"[('yellow-card', ""61'""), ('sub-out', ""67'"")]"
5,C. Lenglet,[],16,Lillo Castellano,"[('yellow-card', ""58'"")]"
20,Vitolo,[],3,J. Babin,[]
17,Pablo Sarabia,[],6,Sergio Álvarez,[]
15,S. N'Zonzi,[],22,Mikel Vesga,"[('yellow-card', ""34'"")]"
11,J. Correa,"[('sub-out', ""81'"")]",21,Xavi Torres,"[('yellow-card', ""78'"")]"
10,S. Nasri,"[('yellow-card', ""75'"")]",14,Burgui,"[('sub-out', ""81'"")]"
4,M. Kranevitter,"[('sub-out', ""60'"")]",19,Carlos Carmona,[]
12,W. Ben Yedder,"[('sub-out', ""60'"")]",9,Carlos Castro,"[('sub-out', ""72'"")]"
