"
Granada
","
Barcelona
"
Starting XI
13,G. Ochoa,[],1,M. ter Stegen,[]
20,M. Saunier,[],24,J. Mathieu,[]
3,G. Silva,"[('sub-out', ""78'"")]",14,J. Mascherano,[]
23,Litri,[],18,Jordi Alba,"[('yellow-card', ""60'"")]"
6,Lombán,"[('yellow-card', ""59'"")]",5,Busquets,[]
5,U. Agbo,"[('yellow-card', ""79'""), ('sec-yellow-card', ""82'"")]",12,Rafinha,"[('sub-out', ""17'"")]"
22,D. Foulquier,[],20,Sergi Roberto,"[('yellow-card', ""28'"")]"
26,V. Angban,"[('sub-out', ""46'"")]",21,André Gomes,"[('sub-out', ""67'"")]"
8,M. Wakaso,[],4,I. Rakitić,"[('yellow-card', ""77'""), ('sub-out', ""87'"")]"
18,Andreas Pereira,[],9,L. Suárez,[]
24,A. Kravets,"[('sub-out', ""55'"")]",11,Neymar,[]
