"
Valencia
","
Deportivo La Coruña
"
Starting XI
1,Diego Alves,[],1,G. Lux,[]
23,A. Abdennour,"[('yellow-card', ""50'"")]",3,Fernando Navarro,[]
21,Martín Montoya,"[('yellow-card', ""7'"")]",12,Sidnei,[]
24,E. Garay,[],6,Albentosa,[]
14,José Gayá,"[('sub-out', ""83'"")]",2,Juanfran,[]
8,E. Pérez,"[('yellow-card', ""55'""), ('sub-out', ""75'"")]",20,Guilherme,[]
18,Carlos Soler,[],4,Álex Bergantiños,"[('sub-out', ""70'"")]"
15,F. Orellana,[],19,F. Fajr,"[('sub-out', ""46'"")]"
10,Dani Parejo,[],11,Carles Gil,[]
12,S. Zaza,"[('sub-out', ""78'"")]",7,Joselu,"[('yellow-card', ""16'"")]"
9,Munir,[],10,F. Andone,[]
