"
Deportivo Alavés
","
Osasuna
"
Starting XI
1,Fernando Pacheco,[],25,S. Sirigu,[]
4,Alexis,[],6,Oier,"[('yellow-card', ""32'"")]"
3,Raúl García,"[('yellow-card', ""62'""), ('sub-out', ""71'"")]",21,Carlos Clerc,[]
2,R. Ely,"[('yellow-card', ""80'"")]",16,Fuentes,[]
21,Kiko Femenía,"[('yellow-card', ""82'"")]",5,David García,[]
10,Óscar Romero,"[('yellow-card', ""50'"")]",8,G. Čaušić,[]
16,D. Torres,"[('yellow-card', ""35'""), ('sub-out', ""78'"")]",20,De las Cuevas,"[('sub-out', ""69'"")]"
6,Marcos Llorente,[],35,Olavide,[]
23,N. Krstičić,"[('sub-out', ""61'"")]",14,Fausto Tienza,"[('sub-out', ""71'"")]"
25,A. Katai,[],7,Sergio León,"[('sub-out', ""77'"")]"
9,C. Santos,[],19,Kenan,[]
