"
Leganés
","
Real Madrid
"
Starting XI
13,Iago Herrerín,[],1,K. Navas,[]
22,D. Siovas,[],4,Sergio Ramos,[]
15,Diego Rico,[],6,Nacho,"[('yellow-card', ""90'"")]"
3,Bustinza,"[('yellow-card', ""85'"")]",12,Marcelo,[]
2,Tito,"[('sub-out', ""54'"")]",23,Danilo,[]
5,M. Mantovani,[],14,Casemiro,[]
24,Timor,[],16,M. Kovačić,"[('sub-out', ""81'"")]"
21,Rubén Pérez,[],20,Marco Asensio,[]
11,A. Szymanowski,"[('sub-out', ""84'"")]",10,J. Rodríguez,"[('sub-out', ""72'"")]"
8,Gabriel,"[('yellow-card', ""57'""), ('sub-out', ""64'"")]",17,Lucas Vázquez,[]
20,Luciano,[],21,Álvaro Morata,"[('sub-out', ""78'"")]"
