"
Málaga
","
Barcelona
"
Starting XI
1,C. Kameni,[],1,M. ter Stegen,[]
24,Luis Hernández,[],23,S. Umtiti,"[('yellow-card', ""33'"")]"
15,F. Ricca,"[('yellow-card', ""37'"")]",14,J. Mascherano,"[('yellow-card', ""87'"")]"
5,Diego Llorente,[],24,J. Mathieu,"[('sub-out', ""46'"")]"
18,R. Rosales,[],18,Jordi Alba,"[('yellow-card', ""8'"")]"
7,Juan Carlos,"[('yellow-card', ""82'""), ('sub-out', ""83'"")]",6,Denis Suárez,"[('sub-out', ""46'"")]"
6,Ignacio Camacho,[],21,André Gomes,"[('sub-out', ""61'"")]"
10,J. Añor,"[('sub-out', ""67'"")]",5,Busquets,[]
14,Recio,"[('yellow-card', ""45'"")]",9,L. Suárez,[]
31,Pablo Fornals,[],10,L. Messi,[]
19,Sandro Ramírez,"[('sub-out', ""77'"")]",11,Neymar,"[('yellow-card', ""27'""), ('sec-yellow-card', ""65'"")]"
