"
Empoli
","
Milan
"
Starting XI
28,Ł. Skorupski,[],99,G. Donnarumma,[]
15,A. Costa,[],20,I. Abate,[]
21,M. Pasqual,[],13,A. Romagnoli,"[('yellow-card', ""4'"")]"
13,F. Veseli,"[('sub-out', ""68'"")]",2,M. De Sciglio,[]
6,G. Bellusci,"[('yellow-card', ""89'"")]",15,G. Gómez,[]
33,R. Krunić,"[('yellow-card', ""37'""), ('sub-out', ""68'"")]",80,M. Pašalić,"[('sub-out', ""78'"")]"
8,A. El Hadji,[],14,M. Fernández,"[('sub-out', ""10'"")]"
11,D. Croce,[],5,G. Bonaventura,"[('yellow-card', ""43'"")]"
10,R. Saponara,[],73,M. Locatelli,[]
7,M. Maccarone,[],9,G. Lapadula,"[('sub-out', ""84'"")]"
89,G. Marilungo,"[('sub-out', ""74'"")]",8,Suso,[]
