"
Pescara
","
Cagliari
"
Starting XI
31,A. Bizzarri,[],30,M. Storari,[]
3,C. Biraghi,[],2,Bruno Alves,[]
11,F. Zampano,[],23,L. Ceppitelli,[]
44,M. Fornasier,[],19,F. Pisacane,[]
37,N. Gyömbér,"[('sub-out', ""90'"")]",3,M. Isla,[]
10,Ahmed Benali,"[('yellow-card', ""39'"")]",4,D. Dessena,"[('yellow-card', ""30'"")]"
21,S. Pepe,[],8,D. Di Gennaro,"[('yellow-card', ""28'""), ('sec-yellow-card', ""33'"")]"
16,G. Brugman,[],18,N. Barella,[]
8,L. Memushaj,"[('yellow-card', ""28'""), ('sub-out', ""59'"")]",25,M. Sau,"[('sub-out', ""68'"")]"
7,V. Verre,"[('sub-out', ""69'"")]",17,Diego Farias,"[('sub-out', ""46'"")]"
17,G. Caprari,[],22,M. Borriello,"[('yellow-card', ""73'""), ('sub-out', ""82'"")]"
