"
Crotone
","
Pescara
"
Starting XI
1,A. Cordaz,[],31,A. Bizzarri,[]
31,M. Sampirisi,[],11,F. Zampano,"[('yellow-card', ""83'"")]"
17,F. Ceccherini,[],2,A. Crescenzi,[]
13,G. Ferrari,[],14,H. Campagnaro,[]
6,M. Rohdén,[],37,N. Gyömbér,"[('yellow-card', ""18'"")]"
18,A. Barberis,[],16,G. Brugman,[]
28,L. Capezzi,"[('yellow-card', ""68'""), ('sec-yellow-card', ""80'"")]",7,V. Verre,"[('sub-out', ""53'"")]"
87,B. Martella,[],10,Ahmed Benali,[]
11,D. Falcinelli,"[('yellow-card', ""75'""), ('sub-out', ""87'"")]",21,S. Pepe,"[('sub-out', ""16'"")]"
7,R. Palladino,"[('sub-out', ""86'"")]",8,L. Memushaj,"[('sub-out', ""65'"")]"
29,M. Trotta,"[('sub-out', ""61'"")]",17,G. Caprari,[]
