"
Sampdoria
","
Lazio
"
Starting XI
1,C. Puggioni,[],22,F. Marchetti,"[('sub-out', ""46'"")]"
26,M. Silvestre,[],8,D. Basta,[]
19,V. Regini,"[('yellow-card', ""53'"")]",26,Ş. Radu,"[('yellow-card', ""48'"")]"
13,Pedro Pereira,[],3,S. de Vrij,[]
37,M. Škriniar,[],13,Wallace,"[('yellow-card', ""71'"")]"
8,É. Barreto,"[('sub-out', ""56'"")]",21,S. Milinković-Savić,[]
34,L. Torreira,[],16,M. Parolo,"[('yellow-card', ""89'"")]"
10,Bruno Fernandes,"[('sub-out', ""46'"")]",19,S. Lulić,[]
16,K. Linetty,"[('sub-out', ""76'"")]",10,Felipe Anderson,"[('sub-out', ""87'"")]"
27,F. Quagliarella,[],20,L. Biglia,"[('yellow-card', ""58'""), ('sub-out', ""65'"")]"
9,L. Muriel,[],17,C. Immobile,[]
