"
Torino","
Juventus
"
Starting XI
21,J. Hart,[],1,G. Buffon,[]
13,L. Rossettini,[],3,G. Chiellini,[]
7,D. Zappacosta,[],12,Alex Sandro,[]
23,A. Barreca,[],26,S. Lichtsteiner,[]
4,Leandro Castán,"[('yellow-card', ""35'"")]",24,D. Rugani,"[('yellow-card', ""56'"")]"
15,M. Benassi,"[('sub-out', ""81'"")]",6,S. Khedira,[]
8,D. Baselli,"[('sub-out', ""81'"")]",27,S. Sturaro,"[('sub-out', ""67'"")]"
18,M. Valdifiori,[],8,C. Marchisio,[]
9,A. Belotti,[],17,M. Mandžukić,"[('yellow-card', ""36'""), ('sub-out', ""71'"")]"
10,A. Ljajić,[],7,J. Cuadrado,"[('sub-out', ""81'"")]"
14,Iago Falqué,"[('sub-out', ""82'"")]",9,G. Higuaín,[]
