"
Lazio
","
Fiorentina
"
Starting XI
22,F. Marchetti,[],12,C. Tătărușanu,[]
15,Bastos,"[('yellow-card', ""57'"")]",40,N. Tomović,"[('yellow-card', ""26'""), ('sub-out', ""46'"")]"
3,S. de Vrij,[],4,S. De Maio,[]
26,Ş. Radu,[],15,M. Olivera,"[('yellow-card', ""49'"")]"
10,Felipe Anderson,"[('sub-out', ""77'"")]",13,D. Astori,"[('yellow-card', ""77'"")]"
21,S. Milinković-Savić,[],72,J. Iličić,"[('sub-out', ""59'"")]"
5,D. Cataldi,"[('sub-out', ""85'"")]",6,C. Sánchez,"[('yellow-card', ""83'"")]"
20,L. Biglia,[],8,M. Vecino,[]
19,S. Lulić,[],9,N. Kalinić,[]
14,B. Keita,"[('sub-out', ""68'"")]",16,Cristian Tello,"[('sub-out', ""80'"")]"
17,C. Immobile,[],10,F. Bernardeschi,"[('yellow-card', ""75'"")]"
