"
Udinese
","
Crotone
"
Starting XI
1,O. Karnezis,[],1,A. Cordaz,"[('red-card', ""86'"")]"
30,Felipe,[],22,A. Rosi,[]
3,Samir,[],17,F. Ceccherini,[]
4,G. Angella,[],13,G. Ferrari,"[('yellow-card', ""59'"")]"
26,S. Kums,[],18,A. Barberis,"[('yellow-card', ""90'+"")]"
27,S. Widmer,[],87,B. Martella,[]
10,R. de Paul,"[('sub-out', ""84'"")]",8,L. Crisetig,"[('yellow-card', ""38'"")]"
14,J. Jankto,"[('sub-out', ""46'"")]",6,M. Rohdén,"[('sub-out', ""52'"")]"
6,S. Fofana,[],29,M. Trotta,"[('yellow-card', ""55'""), ('sub-out', ""60'"")]"
77,C. Théréau,"[('sub-out', ""89'"")]",11,D. Falcinelli,[]
9,D. Zapata,[],7,R. Palladino,"[('sub-out', ""87'"")]"
