"
Milan
","
Cagliari
"
Starting XI
99,G. Donnarumma,[],1,Rafael,[]
20,I. Abate,"[('sub-out', ""27'"")]",24,M. Capuano,[]
2,M. De Sciglio,[],2,Bruno Alves,"[('red-card', ""90'+"")]"
13,A. Romagnoli,[],23,L. Ceppitelli,[]
29,G. Paletta,[],19,F. Pisacane,[]
5,G. Bonaventura,"[('sub-out', ""65'"")]",8,D. Di Gennaro,[]
73,M. Locatelli,[],4,D. Dessena,"[('sub-out', ""90'+"")]"
80,M. Pašalić,"[('sub-out', ""79'"")]",18,N. Barella,[]
8,Suso,[],3,M. Isla,"[('yellow-card', ""88'"")]"
11,M. Niang,[],25,M. Sau,"[('sub-out', ""73'"")]"
70,C. Bacca,[],17,Diego Farias,"[('sub-out', ""78'"")]"
