"
Udinese","
Milan
"
Starting XI
1,O. Karnezis,[],99,G. Donnarumma,[]
3,Samir,"[('yellow-card', ""62'"")]",20,I. Abate,[]
5,Danilo,[],2,M. De Sciglio,"[('sub-out', ""74'"")]"
30,Felipe,[],13,A. Romagnoli,"[('yellow-card', ""54'"")]"
14,J. Jankto,[],29,G. Paletta,[]
37,D. Faraoni,"[('sub-out', ""30'"")]",73,M. Locatelli,[]
10,R. de Paul,"[('yellow-card', ""71'""), ('sub-out', ""90'+"")]",80,M. Pašalić,"[('yellow-card', ""45'+"")]"
6,S. Fofana,"[('sub-out', ""72'"")]",5,G. Bonaventura,"[('sub-out', ""27'"")]"
23,E. Hallfreðsson,[],33,J. Kucka,[]
9,D. Zapata,[],8,Suso,[]
77,C. Théréau,[],70,C. Bacca,"[('sub-out', ""71'"")]"
