"
Internazionale
","
Pescara
"
Starting XI
1,S. Handanovič,[],31,A. Bizzarri,[]
25,João Miranda,[],11,F. Zampano,[]
33,D. D'Ambrosio,"[('sub-out', ""85'"")]",35,A. Coda,[]
55,Y. Nagatomo,"[('yellow-card', ""54'"")]",3,C. Biraghi,"[('yellow-card', ""67'"")]"
17,G. Medel,[],86,G. Stendardo,"[('sub-out', ""54'"")]"
5,R. Gagliardini,[],10,Ahmed Benali,[]
77,M. Brozović,[],7,V. Verre,[]
6,João Mário,[],8,L. Memushaj,[]
9,M. Icardi,[],5,A. Bruno,[]
87,A. Candreva,"[('sub-out', ""76'"")]",15,J. Bahebeck,"[('sub-out', ""75'"")]"
44,I. Perišić,"[('sub-out', ""71'"")]",9,G. Kastanos,"[('sub-out', ""82'"")]"
