"
Sassuolo
","
Milan
"
Starting XI
47,A. Consigli,[],99,G. Donnarumma,[]
13,F. Peluso,"[('yellow-card', ""26'"")]",29,G. Paletta,[]
23,M. Gazzola,[],17,C. Zapata,[]
39,C. Dell'Orco,[],20,I. Abate,[]
15,F. Acerbi,[],21,L. Vangioni,[]
6,L. Pellegrini,"[('yellow-card', ""58'""), ('sub-out', ""70'"")]",23,J. Sosa,"[('yellow-card', ""30'""), ('sub-out', ""87'"")]"
21,A. Aquilani,"[('yellow-card', ""21'"")]",91,A. Bertolacci,"[('yellow-card', ""38'"")]"
32,A. Duncan,"[('yellow-card', ""90'+"")]",33,J. Kucka,"[('yellow-card', ""11'""), ('sub-out', ""65'"")]"
16,M. Politano,"[('sub-out', ""78'"")]",7,Deulofeu,[]
11,G. Defrel,"[('yellow-card', ""23'""), ('sub-out', ""84'"")]",8,Suso,[]
25,D. Berardi,"[('yellow-card', ""8'"")]",70,C. Bacca,"[('sub-out', ""76'"")]"
