"
Napoli
","
Juventus
"
Starting XI
1,Rafael,[],1,G. Buffon,[]
3,I. Strinić,"[('sub-out', ""79'"")]",26,S. Lichtsteiner,[]
2,E. Hysaj,[],19,L. Bonucci,[]
26,K. Koulibaly,[],3,G. Chiellini,[]
33,Albiol,[],18,M. Lemina,"[('sub-out', ""61'"")]"
8,Jorginho,[],6,S. Khedira,[]
5,Allan,"[('sub-out', ""69'"")]",5,M. Pjanić,"[('sub-out', ""87'"")]"
17,M. Hamšík,"[('sub-out', ""76'"")]",22,K. Asamoah,[]
7,José Callejón,[],8,C. Marchisio,"[('sub-out', ""80'"")]"
14,D. Mertens,[],9,G. Higuaín,[]
24,L. Insigne,"[('yellow-card', ""37'"")]",17,M. Mandžukić,[]
