"
Juventus
","
Chievo
"
Starting XI
1,G. Buffon,[],90,A. Seculin,[]
15,A. Barzagli,[],12,B. Cesar,[]
26,S. Lichtsteiner,"[('sub-out', ""85'"")]",2,N. Spolli,"[('yellow-card', ""55'"")]"
24,D. Rugani,[],29,F. Cacciatore,"[('yellow-card', ""18'"")]"
12,Alex Sandro,[],18,M. Gobbi,"[('sub-out', ""46'"")]"
8,C. Marchisio,[],23,V. Birsa,[]
27,S. Sturaro,"[('sub-out', ""72'"")]",8,I. Radovanović,[]
6,S. Khedira,[],19,L. Castro,[]
21,P. Dybala,[],56,P. Hetemaj,"[('sub-out', ""75'"")]"
9,G. Higuaín,[],69,R. Meggiorini,"[('sub-out', ""67'"")]"
7,J. Cuadrado,"[('sub-out', ""66'"")]",31,S. Pellissier,[]
