"
Atalanta
","
Sassuolo
"
Starting XI
1,E. Berisha,[],47,A. Consigli,[]
13,M. Caldara,[],15,F. Acerbi,[]
24,A. Conti,"[('sub-out', ""70'"")]",39,C. Dell'Orco,[]
3,Rafael Tolói,[],28,P. Cannavaro,"[('yellow-card', ""77'"")]"
5,A. Masiello,[],98,C. Adjapong,[]
11,R. Freuler,[],7,S. Missiroli,"[('yellow-card', ""90'"")]"
10,A. Gómez,"[('yellow-card', ""81'"")]",12,S. Sensi,"[('sub-out', ""63'"")]"
37,L. Spinazzola,"[('sub-out', ""46'"")]",6,L. Pellegrini,[]
4,B. Cristante,"[('yellow-card', ""27'"")]",90,A. Ragusa,"[('sub-out', ""80'"")]"
27,J. Kurtič,"[('sub-out', ""55'"")]",25,D. Berardi,"[('yellow-card', ""90'+"")]"
29,A. Petagna,"[('yellow-card', ""29'"")]",11,G. Defrel,"[('sub-out', ""35'"")]"
