"
Jeonbuk Motors
","
América
"
Starting XI
21,Jeong-Nam Hong,[],23,M. Muñoz,[]
19,Won-Jae Park I,[],2,P. Goltz,"[('yellow-card', ""15'"")]"
25,Chul-Soon Choi,"[('yellow-card', ""62'"")]",37,E. Álvarez,"[('sub-out', ""46'"")]"
27,Chang-Soo Kim,"[('sub-out', ""77'"")]",6,M. Samudio,[]
15,Jong-Eun Lim,[],12,Pablo Aguilar,[]
4,Hyung-Min Shin,"[('yellow-card', ""90'+"")]",18,B. Valdez,"[('yellow-card', ""71'"")]"
8,Hyuk Jung,"[('yellow-card', ""48'""), ('sub-out', ""66'"")]",7,William da Silva,[]
13,Bo-Kyung Kim,[],10,O. Martínez,"[('sub-out', ""46'"")]"
17,Jae-Sung Lee II,[],31,C. Quintero,"[('sub-out', ""70'"")]"
81,Edu,"[('sub-out', ""76'"")]",24,O. Peralta,[]
99,Shin-Wook Kim,[],9,S. Romero,[]
