"
Burkina Faso
","
Ghana
"
Starting XI
16,K. Koffi,[],12,R. Ofori,[]
4,Bakary Koné,[],23,H. Afful,[]
2,S. Yago,[],4,J. Mensah,[]
14,I. Dayo,[],15,E. Ofori,[]
20,Y. Coulibaly,"[('sub-out', ""83'"")]",5,T. Partey,[]
18,C. Kaboré,"[('sub-out', ""88'"")]",8,E. Agyemang-Badu,[]
10,Alain Traoré,[],2,A. Yiadom,[]
22,I. Touré,[],18,D. Amartey,[]
15,A. Bancé,"[('sub-out', ""73'"")]",14,B. Tekpetey,"[('sub-out', ""70'"")]"
7,P. Nakoulma,[],9,J. Ayew,"[('sub-out', ""75'"")]"
19,B. Traoré,[],20,S. Tetteh,"[('sub-out', ""65'"")]"
