"
Egypt
","
Uganda
"
Starting XI
1,Essam El Hadary,[],18,D. Onyango,[]
6,Ahmed Hegazi,[],15,G. Walusimbi,[]
13,Mohamed Abdul Shafy,[],4,M. Jjuko,[]
2,Ali Gabr,[],2,J. Ochaya,[]
7,Ahmed Fathy,[],3,G. Kizito,[]
21,Trézéguet,"[('sub-out', ""79'"")]",17,F. Miya,"[('sub-out', ""81'"")]"
8,Tarek Hamed,"[('yellow-card', ""24'""), ('sub-out', ""59'"")]",8,K. Aucho,[]
10,Mohamed Salah,[],16,H. Wasswa,[]
18,Marwan Mohsen,[],12,D. Iguma,"[('sub-out', ""90'+"")]"
17,Mohamed Elneny,[],6,T. Mawejje,[]
14,Ramadan Sobhi,"[('sub-out', ""66'"")]",11,G. Massa,"[('sub-out', ""65'"")]"
