"
Colorado Rapids
","
Seattle Sounders
"
Starting XI
18,Z. MacMath,[],24,S. Frei,[]
44,A. Sjöberg,[],14,C. Marshall,[]
3,E. Miller,[],33,J. Jones,[]
4,M. Burch,"[('yellow-card', ""68'"")]",4,T. Mears,[]
33,J. Watts,[],29,R. Torres,"[('yellow-card', ""14'"")]"
8,D. Powers,[],6,O. Alonso,"[('sub-out', ""74'"")]"
13,J. Jones,[],10,N. Lodeiro,[]
22,M. Azira,"[('sub-out', ""73'"")]",23,A. Ivanschitz,"[('sub-out', ""51'"")]"
7,S. Le Toux,"[('sub-out', ""59'"")]",7,C. Roldan,[]
9,K. Doyle,[],13,J. Morris,[]
11,S. Gashi,"[('sub-out', ""85'"")]",16,N. Valdez,"[('sub-out', ""88'"")]"
