"
Tijuana
","
León"
Starting XI
33,F. Vilar,[],25,W. Yarbrough,"[('yellow-card', ""11'"")]"
19,E. Aguilera,"[('yellow-card', ""81'"")]",5,F. Navarro,[]
22,J. Núñez,[],3,G. Burdisso,"[('yellow-card', ""15'""), ('sub-out', ""46'"")]"
6,J. Valenzuela,[],6,D. Novaretti,[]
15,D. Pérez,[],2,E. Velarde,[]
3,Y. Corona,[],20,L. López,"[('sub-out', ""69'"")]"
8,Juninho,"[('red-card', ""16'"")]",8,Elías Hernández,[]
5,G. Rodríguez,"[('yellow-card', ""7'"")]",10,L. Montes,[]
18,A. Hurtado,"[('yellow-card', ""45'+""), ('sub-out', ""60'"")]",13,A. Mejía,"[('sub-out', ""44'"")]"
9,M. Caraglio,"[('sub-out', ""70'"")]",9,G. Cano,[]
17,D. Moreno,"[('sub-out', ""78'"")]",17,M. Boselli,[]
