"
Pachuca","
Necaxa
"
Starting XI
21,Ó. Pérez,[],1,M. Barovero,[]
23,O. Murillo,[],33,M. De Luna,[]
5,V. Guzmán,"[('sub-out', ""69'"")]",26,Jairo González,"[('yellow-card', ""38'""), ('sub-out', ""90'"")]"
33,S. Medina,"[('yellow-card', ""66'""), ('sub-out', ""69'"")]",2,B. Beckeles,"[('yellow-card', ""75'"")]"
4,O. González,"[('yellow-card', ""34'"")]",5,F. Meza,"[('yellow-card', ""9'"")]"
7,R. Pizarro,[],11,J. Isijara,"[('sub-out', ""81'"")]"
16,J. Hernández,[],7,M. García,"[('yellow-card', ""87'"")]"
10,J. Urretaviscaya,[],22,E. Puch,[]
12,E. García,[],16,M. Iturra,[]
8,H. Lozano,"[('sub-out', ""90'"")]",21,F. Espíndola,"[('sub-out', ""74'"")]"
29,F. Jara,[],18,F. Gallegos,[]
