"
Millwall","
AFC Bournemouth
"
Starting XI
1,J. Archer,[],23,A. Federici,[]
17,B. Webster,[],47,J. Lee,"[('sub-out', ""46'"")]"
4,S. Hutchinson,[],14,B. Smith,"[('sub-out', ""74'"")]"
5,T. Craig,[],26,T. Mings,[]
2,S. Cummings,[],20,M. Wilson,[]
8,B. Thompson,"[('yellow-card', ""61'"")]",7,M. Pugh,[]
6,S. Williams,[],22,E. Hyndman,"[('sub-out', ""56'"")]"
10,F. Onyedinma,"[('sub-out', ""75'"")]",6,A. Surman,"[('yellow-card', ""63'"")]"
20,S. Morison,[],33,J. Ibe,[]
9,L. Gregory,"[('sub-out', ""84'"")]",31,L. Mousset,[]
22,A. O'Brien,"[('sub-out', ""53'"")]",28,L. Grabban,[]
