"
Blackpool
","
Barnsley
"
Starting XI
1,S. Slocombe,[],1,A. Davies,[]
15,T. Aldred,[],2,J. Bree,[]
3,A. Taylor,[],4,M. Roberts,[]
5,C. Robertson,[],5,A. MacDonald,[]
2,K. Mellor,[],6,J. Scowen,"[('yellow-card', ""63'"")]"
8,B. Potts,[],7,A. Hammill,"[('sub-out', ""75'"")]"
4,J. McAlister,[],15,M. Watkins,[]
6,W. Aimson,[],8,C. Hourihane,[]
28,J. Payne,"[('sub-out', ""74'"")]",3,A. White,[]
9,M. Cullen,"[('sub-out', ""68'"")]",20,T. Bradshaw,"[('sub-out', ""75'"")]"
7,K. Vassell,"[('sub-out', ""69'"")]",9,S. Winnall,[]
