"
Watford
","
Burton Albion
"
Starting XI
30,C. Pantilimon,[],1,J. McLaughlin,[]
15,C. Cathcart,"[('sub-out', ""16'"")]",3,J. Brayford,"[('yellow-card', ""80'"")]"
3,M. Britos,[],2,T. Flanagan,"[('yellow-card', ""62'"")]"
4,Y. Kaboul,"[('sub-out', ""60'"")]",5,K. McFadzean,[]
27,C. Kabasele,[],11,L. Dyer,[]
32,B. Mason,[],22,M. Harness,[]
29,E. Capoue,[],7,L. Williamson,[]
16,A. Doucouré,[],15,T. Naylor,"[('yellow-card', ""45'+"")]"
9,T. Deeney,[],16,M. Palmer,"[('sub-out', ""81'"")]"
19,J. Sinclair,"[('sub-out', ""90'+"")]",18,W. Miller,"[('sub-out', ""32'"")]"
24,O. Ighalo,[],19,L. Varney,"[('sub-out', ""70'"")]"
