"
Stoke City
","
Wolverhampton Wanderers
"
Starting XI
33,L. Grant,[],1,C. Ikeme,[]
3,E. Pieters,[],18,D. Iorfa,"[('sub-out', ""77'"")]"
8,G. Johnson,[],60,M. Williamson,[]
15,B. Martins Indi,"[('yellow-card', ""79'"")]",2,M. Doherty,[]
17,R. Shawcross,[],30,K. Hause,[]
14,I. Afellay,[],14,L. Evans,[]
21,G. Imbula,"[('sub-out', ""46'"")]",8,G. Saville,[]
22,X. Shaqiri,"[('yellow-card', ""23'""), ('sub-out', ""72'"")]",17,Hélder Costa,"[('yellow-card', ""7'"")]"
27,Bojan,"[('sub-out', ""46'"")]",22,J. Böðvarsson,[]
10,M. Arnautović,[],10,J. Mason,"[('sub-out', ""62'"")]"
25,P. Crouch,[],26,B. Enobakhare,"[('sub-out', ""72'"")]"
