"
Monterrey","
Guadalajara"
Starting XI
22,A. Domínguez,[],30,R. Cota,[]
15,J. Basanta,"[('yellow-card', ""29'"")]",6,Edwin Hernández,[]
4,I. Piris,[],2,O. Alanís,[]
2,E. Castillo,"[('sub-out', ""63'"")]",4,J. Pereira,"[('yellow-card', ""50'""), ('sec-yellow-card', ""50'"")]"
3,C. Montes,[],10,E. López,"[('sub-out', ""53'"")]"
21,J. Molina,[],20,R. Pizarro,"[('sub-out', ""52'"")]"
13,C. Sánchez,[],23,J. Vázquez,"[('red-card', ""34'"")]"
16,C. Ortiz,"[('sub-out', ""37'"")]",7,O. Pineda,[]
7,Rogelio Funes Mori,[],17,J. Sánchez,[]
23,Y. Chará,"[('sub-out', ""70'"")]",14,Á. Zaldívar,"[('sub-out', ""60'"")]"
8,D. Pabón,[],9,A. Pulido,"[('yellow-card', ""72'"")]"
