"
León
","
Tijuana
"
Starting XI
25,W. Yarbrough,"[('yellow-card', ""40'"")]",25,G. Lajud,[]
3,G. Burdisso,[],16,M. Orozco,"[('sub-out', ""20'"")]"
35,Juan González,[],19,E. Aguilera,[]
5,F. Navarro,[],6,J. Valenzuela,[]
24,O. Rodríguez,[],15,D. Pérez,[]
23,J. Cornejo,"[('sub-out', ""46'"")]",18,A. Hurtado,[]
8,Elías Hernández,[],10,I. Malcorra,[]
11,A. Andrade,"[('sub-out', ""55'"")]",8,J. Corona,"[('yellow-card', ""71'""), ('sub-out', ""82'"")]"
13,A. Mejía,[],5,G. Rodríguez,[]
10,L. Montes,"[('sub-out', ""67'"")]",20,P. Arriola,[]
17,M. Boselli,[],9,M. Caraglio,"[('yellow-card', ""42'""), ('sub-out', ""67'"")]"
