"
Pachuca
","
Tigres UANL
"
Starting XI
21,Ó. Pérez,[],30,A. Fernández,[]
23,O. Murillo,[],4,H. Ayala,[]
4,O. González,[],3,Juninho,"[('yellow-card', ""26'"")]"
5,V. Guzmán,[],6,Jorge Torres,[]
12,E. García,[],8,L. Zelarrayán,[]
6,R. López,"[('yellow-card', ""24'"")]",20,J. Aquino,"[('yellow-card', ""53'""), ('sec-yellow-card', ""65'"")]"
16,J. Hernández,[],19,G. Pizarro,[]
10,J. Urretaviscaya,"[('yellow-card', ""39'"")]",29,J. Dueñas,"[('yellow-card', ""65'"")]"
15,E. Gutiérrez,"[('yellow-card', ""39'"")]",10,A. Gignac,[]
29,F. Jara,"[('sub-out', ""87'"")]",25,J. Damm,"[('sub-out', ""77'"")]"
8,H. Lozano,"[('yellow-card', ""32'"")]",18,I. Sosa,"[('sub-out', ""46'"")]"
