"
Necaxa
","
Querétaro
"
Starting XI
1,M. Barovero,[],1,Tiago Volpi,[]
28,S. Meza,"[('yellow-card', ""66'"")]",3,M. Martínez,[]
26,Jairo González,"[('sub-out', ""67'"")]",6,J. Forlín,[]
33,M. De Luna,[],27,H. Mier,"[('yellow-card', ""13'"")]"
3,M. González,[],29,N. Cardozo,"[('yellow-card', ""84'"")]"
16,M. Iturra,"[('yellow-card', ""53'"")]",28,J. Gómez,[]
11,J. Isijara,"[('sub-out', ""74'"")]",12,J. Bornstein,[]
8,X. Báez,"[('sub-out', ""60'"")]",14,L. Noriega,[]
22,E. Puch,[],30,E. Villa,"[('sub-out', ""66'"")]"
18,F. Gallegos,"[('yellow-card', ""30'"")]",15,A. Sepúlveda,"[('sub-out', ""76'"")]"
19,C. Riaño,[],11,E. Benítez,"[('sub-out', ""41'"")]"
