"
Guadalajara
","
América
"
Starting XI
30,R. Cota,[],1,A. Marchesín,[]
6,Edwin Hernández,"[('yellow-card', ""88'"")]",2,P. Goltz,[]
4,J. Pereira,[],6,M. Samudio,"[('red-card', ""52'"")]"
2,O. Alanís,[],3,G. Burón,"[('yellow-card', ""24'""), ('sub-out', ""57'"")]"
20,R. Pizarro,[],12,Pablo Aguilar,"[('yellow-card', ""86'"")]"
23,J. Vázquez,"[('yellow-card', ""55'"")]",7,William da Silva,"[('yellow-card', ""41'"")]"
10,E. López,"[('sub-out', ""64'"")]",30,R. Ibarra,[]
7,O. Pineda,[],5,J. Güemez,"[('sub-out', ""64'"")]"
14,Á. Zaldívar,[],11,M. Arroyo,"[('sub-out', ""54'"")]"
17,J. Sánchez,[],21,J. Guerrero,[]
9,A. Pulido,"[('sub-out', ""76'"")]",24,O. Peralta,[]
