"
Chiapas
","
Guadalajara
"
Starting XI
23,M. Muñoz,[],30,R. Cota,[]
2,B. Angulo,[],6,Edwin Hernández,"[('sub-out', ""58'"")]"
34,A. Mosquera,"[('yellow-card', ""43'"")]",2,O. Alanís,[]
20,F. Araújo,"[('yellow-card', ""49'"")]",4,J. Pereira,[]
12,L. Miño,"[('sub-out', ""46'"")]",20,R. Pizarro,[]
28,Lucas Silva,[],10,E. López,[]
10,J. Fabbro,[],7,O. Pineda,[]
105,E. Sandez,[],23,J. Vázquez,"[('sub-out', ""69'"")]"
35,Luís Leal,"[('sub-out', ""80'"")]",14,Á. Zaldívar,"[('yellow-card', ""87'"")]"
7,L. Mendoza,"[('sub-out', ""87'"")]",17,J. Sánchez,"[('sub-out', ""58'"")]"
22,Matheus,[],9,A. Pulido,[]
