"
Columbus Crew
","
Chicago Fire
"
Starting XI
23,Z. Steffen,[],1,J. Bava,[]
4,J. Mensah,[],3,B. Vincent,[]
25,H. Afful,[],66,João Meira,[]
24,N. Næss ,[],4,J. Kappelhof,[]
2,J. Raitala,[],5,M. Harrington,[]
9,Justin Meram,[],6,D. McCarty,[]
10,F. Higuaín,"[('yellow-card', ""41'"")]",12,A. Álvarez,"[('sub-out', ""74'"")]"
20,W. Trapp,[],7,J. Goossens,"[('yellow-card', ""81'""), ('sub-out', ""90'+"")]"
13,E. Finlay,[],11,D. Accam,[]
8,M. Abu,"[('sub-out', ""76'"")]",8,M. de Leeuw,[]
11,O. Kamara,"[('sub-out', ""70'"")]",23,N. Nikolić,"[('sub-out', ""90'+"")]"
