"
DC United
","
Sporting KC
"
Starting XI
28,B. Hamid,[],29,T. Melia,[]
2,T. Kemp,[],5,M. Besler,[]
5,S. Franklin,"[('yellow-card', ""54'"")]",15,S. Sinovic,"[('yellow-card', ""37'"")]"
15,S. Birnbaum,[],94,J. Medranda,[]
33,J. Büscher,"[('sub-out', ""61'"")]",3,I. Opara,[]
7,Marcelo Sarvas,[],8,G. Zusi,[]
8,L. Sam,"[('sub-out', ""76'"")]",27,R. Espinoza,"[('yellow-card', ""72'"")]"
25,J. Jeffrey,[],6,Ilie,[]
14,N. DeLeon,[],10,B. Feilhaber,[]
12,P. Nyarko,[],14,D. Dwyer,[]
16,P. Mullins,"[('sub-out', ""69'"")]",7,Gerso Fernandes,[]
